HANNOVERMESSE 2026 - Exhibitors
Hit type;Exhibitor;Country;Zip Code;City;Federal State;CCI District;Company website;Booth;Exhibitor presentation
Exhibitor;Altosens GmbH;Germany;49076;Osnabrück;Lower Saxony;;http://www.altosens.tech;"Hall 11, Stand E44";https://www.hannovermesse.de/exhibitor/altosens/N1610071;
Exhibitor;Studio 216 Inc;United States of America;;Bainbridge Island, WA 98110;;;http://www.altoura.com;"Hall 11, Stand E60";https://www.hannovermesse.de/exhibitor/altoura/N1614892;
Exhibitor;Altus Sistemas de Automação S.A.;Brazil;93022-715;Sao Leopold RS;;;https://www.altusautomation.com;"Hall 26, Stand G35";https://www.hannovermesse.de/exhibitor/altus-sistemas-de-automacao/N1609076;
Exhibitor;Alumexx B.V.;Netherlands;4871 EN;Etten-Leur;;;http://alumexx.nl;"Hall 13, Stand A34";https://www.hannovermesse.de/exhibitor/alumexx/N1611240;
Exhibitor;Alunex Casting Enterprise Co., Ltd.;Taiwan;42942;Taichung City;;;https://www.alunex.com.tw;"Hall 17, Stand B02, (2)";https://www.hannovermesse.de/exhibitor/alunex-casting/N1607377;
Exhibitor;alutexx GmbH & Co.KG;Germany;59320;Ennigerloh;North Rhine-Westphalia;;http://www.alutexx.de;"Hall 17, Stand B30/1";https://www.hannovermesse.de/exhibitor/alutexx/N1572124;
Exhibitor;AMA Verband für Sensorik und Messtechnik e.V.;Germany;14059;Berlin;Berlin;;https://www.ama-sensorik.de;"Hall 27, Stand G19/7";https://www.hannovermesse.de/exhibitor/ama-verband-fur-sensorik-und-messtechnik/N1609292;
Exhibitor;Amazon Business EU Sarl, UK Branch;United Kingdom;;London EC2A 2FA;;;http://www.amazon.co.uk;"Hall 12, Stand E17/1";https://www.hannovermesse.de/exhibitor/amazon-business-eu/N1578272;
Exhibitor;Amazon Web Services EMEA SARL Niederlassung Deutschland;Germany;80807;München;Bavaria;;http://www.aws.amazon.com;"Hall 15, Stand D76";https://www.hannovermesse.de/exhibitor/amazon-web-services/N1458108;
Exhibitor;AMBER ROAD Co., Ltd.;Korea, Republic of;37673;Pohang-si;;;http://amberroad.ai;"Hall 16, Stand B17";https://www.hannovermesse.de/exhibitor/amber-road/N1614654;
Exhibitor;Ambitermo Engenharia e Equipamentos Termicos, S.A.;Portugal;3060-197;Cantanhede;;;https://www.ambitermo.com;"Hall 12, Stand F81";https://www.hannovermesse.de/exhibitor/ambitermo/N1611212;
Exhibitor;AUVESY GmbH;Germany;76829;Landau;Rhineland Palatinate;;https://www.amdt.com;"Hall 26, Stand F19";https://www.hannovermesse.de/exhibitor/amdt/N1568652;
Exhibitor;American Photonics, Inc.;United States of America;;Sarasota, FL 34243;;;http://www.americanphotonics.com;"Hall 17, Stand A15";https://www.hannovermesse.de/exhibitor/american-photonics/N1611648;
Exhibitor;Ceimig Ltd.;United Kingdom;;Dundee DD2 4UT;;;http://www.ceimig.co.uk;"Hall 11, Stand D06/3";https://www.hannovermesse.de/exhibitor/ames-goldsmith-ceimig/N1458450;
Exhibitor;AMETEK GmbH Geschäftsbereich Creaform;Germany;70771;Leinfelden-Echterdingen;Baden-Wurttemberg;;http://www.creaform3d.com;"Hall 17, Stand D32";https://www.hannovermesse.de/exhibitor/ametek-creaform/N1480856;
Exhibitor;Amissiontech Co., Ltd.;China;523870;Dongguan;;;https://www.amissiontech.com;"Hall 27, Stand F87";https://www.hannovermesse.de/exhibitor/amissiontech/N1543234;
Exhibitor;AMO GmbH;Germany;52074;Aachen;North Rhine-Westphalia;;https://www.amo.de;"Hall 11, Stand B49";https://www.hannovermesse.de/exhibitor/amo/N1611088;
Exhibitor;Amprion GmbH;Germany;44263;Dortmund;North Rhine-Westphalia;;https://jobs.amprion.net;Convention Center (CC);https://www.hannovermesse.de/exhibitor/amprion/N1545058;
Exhibitor;AMSDE Asociación Mexicana de Secretarios de Desarrollo Económico A.C.;Mexico;03104;Mexico;;;http://amsde.mx/;"Hall 11, Stand F59";https://www.hannovermesse.de/exhibitor/amsde/N1511084;
Exhibitor;AM-Flow B.V.;Netherlands;5657 BX;Eindhoven;;;http://am-flow.com;"Hall 13, Stand A34";https://www.hannovermesse.de/exhibitor/am-flow/N1611529;
Exhibitor;Anamet Europe B.V.;Netherlands;1046 AW;Amsterdam;;;http://www.anameteurope.com;"Hall 12, Stand E68";https://www.hannovermesse.de/exhibitor/anamet-europe/N1536824;
Exhibitor;anapur AG;Germany;68163;Mannheim;Baden-Wurttemberg;;https://anapur.de/;"Hall 14, Stand J40";https://www.hannovermesse.de/exhibitor/anapur/N1578438;
Exhibitor;An Hui Jielaili Wiping Paper Co., Ltd;China;234000;Suzhou;;;;"Hall 12, Stand G54";https://www.hannovermesse.de/exhibitor/an-hui-jielaili-wiping-paper/N1609935;
Exhibitor;Anhui Thread Photoelectric Technology Co., Ltd.;China;230088;Hefei;;;http://www.threadoe.com;"Hall 27, Stand D02";https://www.hannovermesse.de/exhibitor/anhui-thread-photoelectric/N1608529;
Exhibitor;Anhui Younglift Intelligent Equipment Co., Ltd.;China;237000;Lu'an;;;http://www.yongjieli.com;"Hall 26, Stand B25";https://www.hannovermesse.de/exhibitor/anhui-younglift-intelligent-equipment/N1607321;
Exhibitor;Anhui Yuanchen Environmental Protection Science and Technology Co., Ltd.;China;230000;Hefei;;;http://www.leading-filter.com;"Hall 17, Stand F57";https://www.hannovermesse.de/exhibitor/anhui-yuanchen-environmental/N1609422;
Exhibitor;Ansmann AG;Germany;97959;Assamstadt;Baden-Wurttemberg;;http://www.ansmann.de;"Hall 12, Stand E63";https://www.hannovermesse.de/exhibitor/ansmann/N1541236;
Exhibitor;Antares Acoplamentos Ltda;Brazil;95175-800;Farroupilha RS;;;https://www.antaresacoplamentos.com.br;"Hall 16, Stand B09";https://www.hannovermesse.de/exhibitor/antares-acoplamentos/N1609077;
Exhibitor;ANTICIPATE GmbH;Germany;52070;Aachen;North Rhine-Westphalia;;https://www.anticipate.ml;"Hall 11, Stand B49";https://www.hannovermesse.de/exhibitor/anticipate/N1611089;
Exhibitor;Forschungsvereinigung Elektrotechnik beim ZVEI e.V.;Germany;60549;Frankfurt am Main;Hesse;;http://www.fe-zvei.org;"Hall 13, Stand C24";https://www.hannovermesse.de/exhibitor/antrieb-4-0/N1612894;
Exhibitor;Antung Corporation;Taiwan;24888;New Taipei City;;;http://www.oem.prosprise.com;"Hall 17, Stand B02, (12)";https://www.hannovermesse.de/exhibitor/antung/N1607469;
Exhibitor;Anwaltskanzlei Delaine Pastor Kühn;Germany;30175;Hannover;Lower Saxony;;https://www.delainekuehn.com;"Hall 12, Stand E03/2";https://www.hannovermesse.de/exhibitor/anwaltskanzlei-delaine-pastor-kuhn/N1614209;
Exhibitor;Any Logic Technology Center Unipessoal Lda.;Portugal;1070-313;Lisbon;;;https://anylogic.com;"Hall 14, Stand J05";https://www.hannovermesse.de/exhibitor/anylogic/N1609423;
Exhibitor;SAP SE;Germany;69190;Walldorf;Baden-Wurttemberg;;http://www.sap.com/hannovermesse;"Hall 13, Stand C24";https://www.hannovermesse.de/exhibitor/apeirora/N1577488;
Exhibitor;Agencia Brasileira de Promocao de Exportações e Investimentos (ApexBrasil);Brazil;70390-030;Brasilia DF;;;https://www.apexbrasil.com.br;"Hall 12, Stand C04";https://www.hannovermesse.de/exhibitor/apexbrasil/N1612227;
Exhibitor;Jan Ole Wulfken ApexSignal;Germany;40667;Meerbusch;North Rhine-Westphalia;;http://www.apex-signal.tech;"Hall 11, Stand D30";https://www.hannovermesse.de/exhibitor/apexsignal/N1609848;
Exhibitor;apoprojekt GmbH;Germany;20355;Hamburg;Hamburg;;http://www.apoprojekt.de;Digital Only;https://www.hannovermesse.de/exhibitor/apoprojekt/N1611114;
Special Display;Deutsche Messe AG;Germany;30521;Hannover;Lower Saxony;;https://www.hannovermesse.de;"Hall 26, Stand G44";https://www.hannovermesse.de/exhibitor/application-park/N1543774;
Exhibitor;Aprisa Industrial Co., Ltd.;Taiwan;71042;Tainan City;;;http://www.aprisa.com.tw;"Hall 17, Stand B02, (3)";https://www.hannovermesse.de/exhibitor/aprisa-industrial/N1570807;
Exhibitor;Aprix Industry Solutions Tecnologia da Informacao Ltda.;Brazil;90010-272;Porto Alegre RS;;;https://aprix.ai/;"Hall 11, Stand D55";https://www.hannovermesse.de/exhibitor/aprix-industry-solutions/N1608946;
Exhibitor;Aptean Germany GmbH;Germany;76275;Ettlingen;Baden-Wurttemberg;;https://www.aptean.de;"Hall 15, Stand D29";https://www.hannovermesse.de/exhibitor/aptean-germany/N1605323;
Exhibitor;apvine nv;Belgium;2550;Kontich;;;http://apvine.com;"Hall 17, Stand H23";https://www.hannovermesse.de/exhibitor/apvine/N1614795;
Exhibitor;Aras Corp.;United States of America;;Andover, MA 01810;;;http://www.aras.com;"Hall 17, Stand G06";https://www.hannovermesse.de/exhibitor/aras/N1614829;
Exhibitor;aratall GmbH;Germany;49076;Osnabrück;Lower Saxony;;http://www.aratall.com;"Hall 11, Stand E44";https://www.hannovermesse.de/exhibitor/aratall/N1610072;
Exhibitor;Arcadis Germany GmbH;Germany;30659;Hannover;Lower Saxony;;https://www.arcadis.com;"Hall 12, Stand E90";https://www.hannovermesse.de/exhibitor/arcadis-germany/N1609936;
Exhibitor;ARENA2036 e.V.;Germany;70569;Stuttgart;Baden-Wurttemberg;;http://www.arena2036.de;"Hall 13, Stand E30";https://www.hannovermesse.de/exhibitor/arena2036/N1582311;
Exhibitor;ARI Drones Teknoloji San. ve Tic Ltd. ?ti.;Türkiye;34906;Pendik;;;https://aridrones.com/en/;"Hall 14, Stand L27, (8)";https://www.hannovermesse.de/exhibitor/ari-drones-technology/N1608501;
Exhibitor;Aris Machina AB;Sweden;111 37;Stockholm;;;http://arismachina.com;"Hall 15, Stand F52";https://www.hannovermesse.de/exhibitor/aris-machina/N1614655;
